n_main,points_main,show_no_show,main_color,main_in_a_row,trial_no,broken,random
10,10,show,red,1,166,,0.054387132
19,90,show,red,1,167,,0.192084818
10,80,noShow,red,1,168,,0.67443733
15,10,show,red,1,169,,0.596710626
15,30,show,blue,2,170,,0.302046178
10,60,noShow,red,1,171,,0.734251991
10,70,noShow,blue,2,172,,0.368894205
10,90,noShow,blue,3,173,,0.941801491
15,40,show,blue,1,174,,0.811767744
19,20,noShow,red,1,175,,0.736678499
10,30,show,red,1,176,,0.038128076
10,40,noShow,blue,2,177,,0.392706281
19,10,show,blue,1,178,,0.773042919
10,70,show,blue,1,179,,0.190223531
10,20,noShow,red,2,180,,0.002154257
15,10,show,red,1,181,,0.946665111
10,50,show,red,1,182,,0.725024671
10,80,noShow,red,2,183,,0.050089811
10,10,show,red,3,184,,0.656273964
19,50,show,blue,1,185,,0.696918865
10,30,noShow,red,1,186,,0.242175931
19,60,show,blue,1,187,,0.675228466
19,80,noShow,blue,2,188,,0.172248735
19,40,noShow,blue,3,189,,0.64968927
19,30,noShow,blue,4,190,,0.873878196
15,30,show,red,1,191,,0.07276782
15,10,show,blue,2,192,,0.588826316
15,30,noShow,red,3,193,,0.163825437
10,60,show,red,1,194,,0.489886694
15,50,noShow,blue,1,195,,0.723620111
19,20,show,red,1,196,,0.740868204
19,80,noShow,blue,2,197,,0.262414899
20,90,noShow,blue,1,198,,0.411057283
15,10,noShow,red,1,199,,0.157020878
10,10,show,red,1,200,,0.094491098
19,30,show,blue,1,201,,0.472883583
15,10,noShow,blue,1,202,,0.963558995
10,20,show,blue,1,203,,0.114607955
19,60,show,blue,1,204,,0.705050547
10,10,show,blue,1,205,,0.040586318
15,40,noShow,blue,1,206,,0.38482558
19,80,show,red,1,207,,0.098748231
19,60,show,red,2,208,,0.195457726
15,80,show,red,1,209,,0.330615266
19,70,noShow,blue,1,210,,0.330788229
10,80,noShow,blue,1,211,,0.335172036
15,80,show,red,1,212,,0.864235022
15,30,show,blue,2,213,,0.983531026
19,10,noShow,blue,1,214,,0.58647072
15,60,show,blue,1,215,,0.696576429
10,50,noShow,blue,1,216,,0.775880151
10,40,show,blue,2,217,,0.922946871
10,40,show,red,3,218,,0.965817353
10,60,noShow,red,4,219,,0.931710418
15,60,show,blue,1,220,,0.960522091
15,20,noShow,blue,2,221,,0.626374109
15,40,show,blue,3,222,,0.801663308
10,20,show,blue,1,223,,0.623556703
10,90,show,blue,2,224,,0.655516878
10,80,show,blue,3,225,,0.165462005
19,50,show,red,1,226,,0.873045481
19,10,noShow,blue,2,227,,0.660575655
15,70,noShow,red,1,228,,0.858544939
10,70,show,red,1,229,,0.397743434
19,30,show,red,1,230,,0.094591826
20,20,show,blue,1,231,,0.646579723
10,20,noShow,red,1,232,,0.329935635
19,80,noShow,red,1,233,,0.349223026
19,40,show,red,2,234,,0.801515533
10,90,show,blue,1,235,,0.597656779
10,10,noShow,red,2,236,,0.581359138
20,70,show,red,1,237,,0.26562165
10,80,show,red,1,238,,0.003779626
19,50,show,red,1,239,,0.478663832
19,70,show,blue,2,240,,0.318689458
20,70,noShow,red,1,241,,0.02981769
19,50,noShow,blue,1,242,,0.55428716
15,50,show,blue,1,243,,0.617162872
10,70,noShow,blue,1,244,,0.268756575
19,80,show,red,1,245,,0.644001549
20,40,noShow,red,1,246,,0.77849024
19,50,show,blue,1,247,,0.799273084
10,50,noShow,red,1,248,,0.312870081
20,90,show,blue,1,249,,0.257287259
10,80,noShow,red,1,250,,0.746601178
15,50,noShow,red,1,251,,0.89976464
10,80,noShow,blue,1,252,,0.37440994
15,30,show,red,1,253,,0.783000821
15,70,show,blue,2,254,,0.034627465
15,40,show,red,3,255,,0.227821247
15,40,noShow,red,4,256,,0.563445115
10,70,noShow,red,1,257,,0.494591982
19,90,noShow,red,1,258,,0.516741651
19,80,show,red,2,259,,0.38024999
19,60,show,blue,3,260,,0.668254018
10,90,noShow,red,1,261,,0.115092547
10,10,show,red,2,262,,0.459036169
15,10,noShow,red,1,263,,0.285518287
19,40,show,blue,1,264,,0.201785121
15,60,show,red,1,265,,0.822270699
19,90,show,blue,1,266,,0.943502127
20,60,show,red,1,267,,0.294850253
10,10,show,blue,1,268,,0.860510227
19,70,show,red,1,269,,0.280107799
15,70,show,blue,1,270,,0.44111037
15,70,show,blue,2,271,,0.63071509
15,10,noShow,blue,3,272,,0.433786852
19,40,noShow,blue,1,273,,0.276950294
20,20,noShow,red,1,274,,0.174161993
15,90,noShow,blue,1,275,,0.238392801
19,40,noShow,red,1,276,,0.91376013
15,60,noShow,red,1,277,,0.801666148
19,10,noShow,red,1,278,,0.760614555
19,70,show,red,2,279,,0.102903266
10,20,noShow,blue,1,280,,0.798998952
20,30,show,red,1,281,,0.421361612
15,90,show,red,1,282,,0.516879453
19,40,noShow,red,1,283,,0.391436827
10,20,noShow,blue,1,284,,0.359474865
15,30,show,red,1,285,,0.637690977
10,20,show,blue,1,286,,0.710624758
10,60,show,red,2,287,,0.360525806
10,40,noShow,red,3,288,,0.936156458
10,70,noShow,blue,4,289,,0.493518076
19,70,show,blue,1,290,,0.001407173
10,50,noShow,blue,1,291,,0.827548054
19,60,show,red,1,292,,0.185406147
19,50,noShow,red,2,293,,0.0776654
15,30,noShow,blue,1,294,,0.284495425
19,60,noShow,red,1,295,,0.147755058
15,90,noShow,red,1,296,,0.546529973
15,60,noShow,blue,2,297,,0.732712861
10,50,show,red,1,298,,0.162036961
15,40,show,red,1,299,,0.060869012
15,10,noShow,red,2,300,,0.110245432
10,50,show,blue,1,301,,0.709284957
20,90,show,red,1,302,,0.305758426
19,90,show,red,1,303,,0.475394297
19,30,noShow,blue,2,304,,0.496496326
10,70,noShow,red,1,305,,0.729991491
19,60,show,red,1,306,,0.046679714
15,50,show,blue,1,307,,0.244140973
15,40,show,red,2,308,,0.311957475
10,10,noShow,red,1,309,,0.427163914
10,60,show,blue,2,310,,0.629860488
19,10,show,red,1,311,,0.251058983
19,70,show,red,2,312,,0.250736557
19,70,noShow,red,3,313,,0.900755564
19,10,noShow,red,4,314,,0.705986852
20,10,show,red,1,315,,0.677333645
10,30,noShow,blue,1,316,,0.926194214
19,20,show,blue,1,317,,0.706250732
15,30,noShow,blue,1,318,,0.796645218
10,80,show,blue,1,319,,0.143794181
19,60,noShow,red,1,320,,0.077467467
15,60,noShow,red,1,321,,0.427154185
15,10,show,blue,2,322,,0.66641946
19,70,show,blue,1,323,,0.537039224
15,40,show,blue,1,324,,0.881195813
10,10,show,blue,1,325,,0.612609317
15,80,show,blue,1,326,,0.76248602
15,20,noShow,red,2,327,,0.718284114
20,30,noShow,blue,1,328,,0.717113371
19,50,noShow,blue,1,329,,0.267919206
20,10,show,blue,1,330,,0.141171583
15,40,noShow,blue,1,331,,0.986786735
19,40,noShow,red,1,332,,0.885584405
15,20,show,red,1,333,,0.274222358
15,60,show,red,2,334,,0.590976102
10,90,show,blue,1,335,,0.12381037
15,40,noShow,blue,1,336,,0.455823761
15,20,show,red,2,337,,0.083300477
19,10,noShow,blue,1,338,,0.98285358
10,60,show,red,1,339,,0.078433025
19,90,show,blue,1,340,,0.635457479
19,70,noShow,blue,2,341,,0.784472769
20,10,noShow,blue,1,342,,0.231081946
10,30,show,blue,1,343,,0.873114889
10,20,show,red,2,344,,0.795243648
19,60,noShow,blue,1,345,,0.172757701
15,20,show,red,1,346,,0.631842137
19,20,noShow,red,1,347,,0.104786751
20,80,noShow,red,1,348,,0.557186574
15,80,noShow,red,1,349,,0.760959684
19,20,show,red,1,350,,0.761666312
19,70,noShow,blue,2,351,,0.496323887
10,60,noShow,red,1,352,,0.159942434
15,60,show,blue,1,353,,0.773064595
10,40,noShow,red,1,354,,0.564202962
10,70,noShow,red,2,355,,0.313621451
19,30,noShow,red,1,356,,0.652327966
10,40,noShow,blue,1,357,,0.032305031
15,90,show,red,1,358,,0.731287209
10,70,show,red,1,359,,0.10508915
10,30,show,blue,2,360,,0.333907867
10,50,show,red,3,361,,0.314482011
15,40,show,blue,1,362,,0.993092431
10,50,noShow,red,1,363,,0.143234091
15,90,show,blue,1,364,,0.261051319
10,80,show,red,1,365,,0.175607323
20,50,noShow,red,1,366,,0.472178909
19,80,noShow,blue,1,367,,0.152102894
19,20,noShow,blue,2,368,,0.567510975
10,10,noShow,blue,1,369,,0.482656303
15,20,noShow,blue,1,370,,0.827544636
10,30,noShow,red,1,371,,0.389705177
19,40,show,blue,1,372,,0.810492757
19,70,noShow,blue,2,373,,0.877198454
20,50,noShow,blue,1,374,,0.517321435
10,40,show,blue,1,375,,0.921142286
19,50,noShow,red,1,376,,0.546348648
20,40,noShow,blue,1,377,,0.183898751
15,60,noShow,blue,1,378,,0.142549846
19,20,noShow,blue,1,379,,0.966016872
10,60,show,blue,1,380,,0.864438333
10,50,noShow,red,2,381,,0.339360048
15,10,noShow,blue,1,382,,0.499504511
15,80,noShow,blue,2,383,,0.532800098
15,30,noShow,blue,3,384,,0.663369925
19,90,show,blue,1,385,,0.761502844
10,60,show,blue,1,386,,0.664330703
19,50,noShow,red,1,387,,0.163185229
19,40,noShow,red,2,388,,0.040744475
10,10,noShow,blue,1,389,,0.205655551
15,20,noShow,red,1,390,,0.161292679
15,70,noShow,blue,2,391,,0.501057646
15,70,noShow,blue,3,392,,0.285691941
19,20,noShow,blue,1,393,,0.06075521
15,10,show,red,1,394,,0.0247224
19,20,noShow,blue,1,395,,0.573562866
19,30,show,red,2,396,,0.612901468
20,80,show,red,1,397,,0.727534278
15,90,show,red,1,398,,0.354797211
10,90,noShow,red,1,399,,0.125856205
19,90,noShow,red,1,400,,0.957512367
19,30,show,blue,2,401,,0.190296868
15,80,noShow,red,1,402,,0.788563285
19,80,show,red,1,403,,0.086468242
15,20,noShow,blue,1,404,,0.862146148
19,30,show,blue,1,405,,0.144863589
19,40,show,blue,2,406,,0.160161666
19,90,noShow,blue,3,407,,0.256823256
19,10,noShow,blue,4,408,,0.730524247
15,90,noShow,blue,1,409,,0.077490569
15,10,show,blue,2,410,,0.508001715
10,70,show,blue,1,411,,0.616297858
15,60,show,blue,1,412,,0.496530299
20,40,show,blue,1,413,,0.503045771
10,20,noShow,red,1,414,,0.501666899
10,40,noShow,blue,2,415,,0.213309789
10,10,noShow,blue,3,416,,0.063239317
10,70,show,blue,4,417,,0.165450948
15,70,show,red,1,418,,0.307625883
10,50,show,red,1,419,,0.473277709
15,80,noShow,blue,1,420,,0.703350811
20,60,noShow,red,1,421,,0.379375418
20,30,noShow,red,2,422,,0.890362058
10,20,show,red,1,423,,0.895894791
10,80,noShow,red,2,424,,0.980626505
15,40,show,red,1,425,,0.849393391
19,70,show,blue,1,426,,0.754322528
10,40,noShow,blue,1,427,,0.537010018
19,50,show,red,1,428,,0.6513478
10,60,noShow,blue,1,429,,0.241293838
10,30,show,blue,2,430,,0.172127677
15,90,noShow,red,1,431,,0.374513365
19,30,noShow,blue,1,432,,0.435471501
10,20,noShow,blue,1,433,,0.499958055
10,30,noShow,red,2,434,,0.015770887
15,50,show,blue,1,435,,0.642971716
15,90,show,blue,2,436,,0.50907731
19,70,noShow,red,1,437,,0.40919677
15,10,noShow,blue,1,438,,0.410077124
15,80,show,blue,2,439,,0.488364672
10,10,noShow,blue,1,440,,0.062863791
15,90,show,blue,1,441,,0.171165276
15,70,noShow,red,2,442,,0.561478318
19,70,show,red,1,443,,0.842120753
15,40,noShow,red,1,444,,0.295864262
19,30,noShow,red,1,445,,0.846451478
19,40,show,red,2,446,,0.280202658
19,20,show,red,3,447,,0.242755713
19,60,noShow,red,4,448,,0.769217402
15,80,show,red,1,449,,0.340658443
15,20,show,blue,2,450,,0.910263417
15,70,noShow,blue,3,451,,0.443766734
19,10,noShow,red,1,452,,0.131742457
19,10,show,blue,2,453,,0.249279579
15,50,noShow,red,1,454,,0.609172538
19,80,show,blue,1,455,,0.038037632
19,60,noShow,blue,2,456,,0.847231568
10,40,show,blue,1,457,,0.279890911
19,30,show,blue,1,458,,0.178093325
20,70,show,blue,1,459,,0.001861703
15,60,show,red,1,460,,0.702787529
10,10,noShow,red,1,461,,0.159161948
10,60,noShow,blue,2,462,,0.933184926
10,50,noShow,blue,3,463,,0.015790403
19,20,show,blue,1,464,,0.558197555
10,10,noShow,red,1,465,,0.901912773
15,20,noShow,red,1,466,,0.430181291
15,50,show,blue,2,467,,0.654867842
10,80,show,blue,1,468,,0.008249258
